Species (ASFIS species),Species (Main grouping),Species (Order),Species (Family),Species (ASFIS species),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment)
Tench,PISCES,CYPRINIFORMES,CYPRINIDAE,Tinca tinca,1400200701,All,Freshwater
Whiteleg shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus vannamei,2280100111,All,Marine
Barbel,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbus barbus,1400201301,All,Freshwater
Pacific cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea gigas,3160700801,All,Brackishwater
Blue shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus stylirostris,2280100110,All,Brackishwater
Barramundi(=Giant seaperch),PISCES,PERCOIDEI,CENTROPOMIDAE,Lates calcarifer,1700116701,All,Marine
Snubnose pompano,PISCES,PERCOIDEI,CARANGIDAE,Trachinotus blochii,1702304701,All,Marine
Blacklip pearl oyster,MOLLUSCA,BIVALVIA,PTERIIDAE,Pinctada margaritifera,3160600601,All,Marine
Atlantic salmon,PISCES,SALMONIFORMES,SALMONIDAE,Salmo salar,1230100401,All,Brackishwater
Freshwater siluroids nei,PISCES,SILURIFORMES,,Siluroidei,141XXXXXXX,All,Freshwater
Sobaity seabream,PISCES,PERCOIDEI,SPARIDAE,Sparidentex hasta,1703930001,All,Marine
Cachama,PISCES,CHARACIFORMES,CHARACIDAE,Colossoma macropomum,1380104605,All,Freshwater
Snakeheads(=Murrels) nei,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa spp,17719001XX,All,Freshwater
"Tambatinga, hybrid",PISCES,CHARACIFORMES,CHARACIDAE,C. macropomum x P. brachypomus,13801XXXXX005,All,Freshwater
Mediterranean mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilus galloprovincialis,3161000112,All,Marine
Longfin tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis macrochir,1705905105,All,Freshwater
Sandfish,INVERTEBRATA AQUATICA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria scabra,6940100302,All,Brackishwater
Turbot,PISCES,PLEURONECTIFORMES,SCOPHTHALMIDAE,Psetta maxima,1830509201,All,Brackishwater
Pacific lion's paw,MOLLUSCA,BIVALVIA,PECTINIDAE,Lyropecten subnodosus,3160801001,All,Marine
Crocus giant clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna crocea,3162605004,All,Marine
Jaguar guapote,PISCES,PERCOIDEI,CICHLIDAE,Cichlasoma managuense,1705905306,All,Freshwater
Pacific asaphis,MOLLUSCA,BIVALVIA,PSAMMOBIIDAE,Asaphis violascens,3163800601,All,Marine
Queen conch,MOLLUSCA,GASTROPODA,STROMBIDAE,Strombus gigas,3070600201,All,Marine
Smooth giant clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna derasa,3162605002,All,Marine
Elongate giant clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna maxima,3162605005,All,Marine
Palaemonid shrimps nei,CRUSTACEA,NATANTIA,PALAEMONIDAE,Palaemonidae,22812XXXXX046,All,Marine
South American catfish,PISCES,SILURIFORMES,PIMELODIDAE,Rhamdia quelen,1412202102,All,Freshwater
Atlantic wolffish,PISCES,ZOARCOIDEI,ANARHICHADIDAE,Anarhichas lupus,1710200101,All,Marine
Spotted wolffish,PISCES,ZOARCOIDEI,ANARHICHADIDAE,Anarhichas minor,1710200103,All,Marine
Short-finned eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla australis,1430200207,All,Brackishwater
River eels nei,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla spp,14302002XX,All,Brackishwater
[Anostomoides laticeps],PISCES,CHARACIFORMES,ANOSTOMIDAE,Anostomoides laticeps,1380400501,All,Freshwater
Pacific calico scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Argopecten ventricosus,3160803004,All,Marine
Japanese meagre,PISCES,PERCOIDEI,SCIAENIDAE,Argyrosomus japonicus,1703710602,All,Brackishwater
Japanese meagre,PISCES,PERCOIDEI,SCIAENIDAE,Argyrosomus japonicus,1703710602,All,Marine
Brine shrimp,CRUSTACEA,ANOSTRACA,ARTEMIIDAE,Artemia salina,2020200101,All,Brackishwater
Brine shrimp,CRUSTACEA,ANOSTRACA,ARTEMIIDAE,Artemia salina,2020200101,All,Marine
Asp,PISCES,CYPRINIFORMES,CYPRINIDAE,Aspius aspius,1400211501,All,Freshwater
Big-scale sand smelt,PISCES,ATHERINIFORMES,ATHERINIDAE,Atherina boyeri,1630200301,All,Marine
Silversides(=Sand smelts) nei,PISCES,ATHERINIFORMES,ATHERINIDAE,Atherinidae,16302XXXXX,All,Brackishwater
Silversides(=Sand smelts) nei,PISCES,ATHERINIFORMES,ATHERINIDAE,Atherinidae,16302XXXXX,All,Freshwater
Bayad,PISCES,SILURIFORMES,BAGRIDAE,Bagrus bajad,1410811101,All,Freshwater
Naked catfishes,PISCES,SILURIFORMES,BAGRIDAE,Bagrus spp,14108111XX,All,Freshwater
Silver barb,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbonymus gonionotus,1400233501,All,Brackishwater
Ripon barbel,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbus altianalis,1400201328,All,Freshwater
"Clams, etc. nei",MOLLUSCA,BIVALVIA,,Bivalvia,316XXXXXXX,All,Brackishwater
"Clams, etc. nei",MOLLUSCA,BIVALVIA,,Bivalvia,316XXXXXXX,All,Freshwater
White bream,PISCES,CYPRINIFORMES,CYPRINIDAE,Blicca bjoerkna,1400233301,All,Freshwater
Great blue spotted mudskipper,PISCES,GOBIOIDEI,GOBIIDAE,Boleophthalmus pectinirostris,1732106502,All,Brackishwater
Great blue spotted mudskipper,PISCES,GOBIOIDEI,GOBIIDAE,Boleophthalmus pectinirostris,1732106502,All,Freshwater
Marine crabs nei,CRUSTACEA,BRACHYURA,,Brachyura,231XXXXXXX,All,Freshwater
Marine crabs nei,CRUSTACEA,BRACHYURA,,Brachyura,231XXXXXXX,All,Marine
[Brycon hilarii],PISCES,CHARACIFORMES,CHARACIDAE,Brycon hilarii,1380101315,All,Freshwater
Dorada,PISCES,CHARACIFORMES,CHARACIDAE,Brycon moorei,1380101330,All,Freshwater
Blue crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Callinectes sapidus,2311101202,All,Brackishwater
Callinectes swimcrabs nei,CRUSTACEA,BRACHYURA,PORTUNIDAE,Callinectes spp,23111012XX,All,Brackishwater
Filefishes nei,PISCES,TETRAODONTIFORMES,MONACANTHIDAE,Cantherhines (=Navodon) spp,19009004XX,All,Marine
Malabar trevally,PISCES,PERCOIDEI,CARANGIDAE,Carangoides malabaricus,1702311412,All,Marine
