Species (ASFIS species),Species (Main grouping),Species (Order),Species (Family),Species (ASFIS species),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment)
Mullets nei,PISCES,MUGILIFORMES,MUGILIDAE,Mugilidae,16501XXXXX,All,Marine
Japanese seabream,PISCES,PERCOIDEI,SPARIDAE,Pagrus major,1703919116,All,Marine
Meagre,PISCES,PERCOIDEI,SCIAENIDAE,Argyrosomus regius,1703710601,All,Marine
Aba,PISCES,OSTEOGLOSSIFORMES,GYMNARCHIDAE,Gymnarchus niloticus,1280700101,All,Freshwater
Japanese seabass,PISCES,PERCOIDEI,LATEOLABRACIDAE,Lateolabrax japonicus,1704929701,All,Freshwater
Obscure pufferfish,PISCES,TETRAODONTIFORMES,TETRAODONTIDAE,Takifugu obscurus,1900201105,All,Freshwater
African bonytongue,PISCES,OSTEOGLOSSIFORMES,OSTEOGLOSSIDAE,Heterotis niloticus,1280100401,All,Freshwater
Asian barbs nei,PISCES,CYPRINIFORMES,CYPRINIDAE,Puntius spp,14002161XX,All,Freshwater
Olive barb,PISCES,CYPRINIFORMES,CYPRINIDAE,Systomus sarana,1400232403,All,Freshwater
Tilapia shiranus,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis shiranus,1705905132,All,Freshwater
"Striped bass, hybrid",PISCES,PERCOIDEI,MORONIDAE,Morone chrysops x M. saxatilis,17006006XX017,All,Freshwater
Citharinus nei,PISCES,CHARACIFORMES,CITHARINIDAE,Citharinus spp,13806006XX,All,Freshwater
Upsidedown catfishes,PISCES,SILURIFORMES,MOCHOKIDAE,Synodontis spp,14132008XX,All,Freshwater
Characins nei,PISCES,CHARACIFORMES,CHARACIDAE,Characidae,13801XXXXX,All,Freshwater
Finfishes nei,PISCES,PISCES MISCELLANEA,,Osteichthyes,199XXXXXXX009,All,Marine
Whitefishes nei,PISCES,SALMONIFORMES,COREGONIDAE,Coregonus spp,12312001XX,All,Freshwater
White trevally,PISCES,PERCOIDEI,CARANGIDAE,Pseudocaranx dentex,1702301127,All,Marine
Grass-eaters nei,PISCES,CHARACIFORMES,DISTICHODONTIDAE,Distichodus spp,13816024XX,All,Freshwater
Inflated ark,MOLLUSCA,BIVALVIA,ARCIDAE,Scapharca broughtonii,3160400507,All,Marine
Flathead grey mullet,PISCES,MUGILIFORMES,MUGILIDAE,Mugil cephalus,1650100102,All,Freshwater
Speckled shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Metapenaeus monoceros,2280101601,All,Brackishwater
Kafue pike,PISCES,CHARACIFORMES,HEPSETIDAE,Hepsetus odoe,1381000101,All,Freshwater
Salmonoids nei,PISCES,SALMONIFORMES,,Salmonoidei,123XXXXXXX,All,Freshwater
Indian white prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus indicus,2280100125,All,Brackishwater
Australian mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilus planulatus,3161000117,All,Marine
Crucian carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Carassius carassius,1400201601,All,Freshwater
American bull frog,"AMPHIBIA, REPTILIA",ANURA,RANIDAE,Rana catesbeiana,5120100119,All,Freshwater
Orange mud crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Scylla olivacea,2311114002,All,Marine
"Jacks, crevalles nei",PISCES,PERCOIDEI,CARANGIDAE,Caranx spp,17023044XX,All,Brackishwater
Parachanna snakeheads nei,PISCES,OTHER PERCIFORMES,CHANNIDAE,Parachanna spp,17719002XX,All,Freshwater
Flathead grey mullet,PISCES,MUGILIFORMES,MUGILIDAE,Mugil cephalus,1650100102,All,Brackishwater
Chars nei,PISCES,SALMONIFORMES,SALMONIDAE,Salvelinus spp,12301010XX,All,Freshwater
Tropical spiny lobsters nei,CRUSTACEA,REPTANTIA,PALINURIDAE,Panulirus spp,22901001XX,All,Marine
Wels(=Som) catfish,PISCES,SILURIFORMES,SILURIDAE,Silurus glanis,1410703101,All,Freshwater
Senegalese sole,PISCES,PLEURONECTIFORMES,SOLEIDAE,Solea senegalensis,1830300708,All,Marine
Arctic char,PISCES,SALMONIFORMES,SALMONIDAE,Salvelinus alpinus,1230101005,All,Freshwater
Chinook(=Spring=King) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus tshawytscha,1230100907,All,Freshwater
Atlantic halibut,PISCES,PLEURONECTIFORMES,PLEURONECTIDAE,Hippoglossus hippoglossus,1830200201,All,Marine
Brook trout,PISCES,SALMONIFORMES,SALMONIDAE,Salvelinus fontinalis,1230101002,All,Freshwater
Blue shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus stylirostris,2280100110,All,Marine
Catfishes nei,PISCES,SILURIFORMES,ICTALURIDAE,Ictalurus spp,14110002XX,All,Freshwater
Marine fishes nei,PISCES,PISCES MISCELLANEA,,Osteichthyes,199XXXXXXX010,All,Freshwater
Cholga mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Aulacomya ater,3161003801,All,Marine
Pike-perch,PISCES,PERCOIDEI,PERCIDAE,Sander lucioperca,1701436103,All,Freshwater
Kuruma prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus japonicus,2280100109,All,Marine
Atlantic salmon,PISCES,SALMONIFORMES,SALMONIDAE,Salmo salar,1230100401,All,Freshwater
Red porgy,PISCES,PERCOIDEI,SPARIDAE,Pagrus pagrus,1703919103,All,Marine
Northern pike,PISCES,ESOCIFORMES,ESOCIDAE,Esox lucius,1240300101,All,Freshwater
Perlemoen abalone,MOLLUSCA,GASTROPODA,HALIOTIDAE,Haliotis midae,3070300111,All,Marine
Japanese seabass,PISCES,PERCOIDEI,LATEOLABRACIDAE,Lateolabrax japonicus,1704929701,All,Brackishwater
Mangrove cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea rhizophorae,3160700802,All,Marine
Choro mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Choromytilus chorus,3161002601,All,Marine
Wallago,PISCES,SILURIFORMES,SILURIDAE,Wallago attu,1410707501,All,Freshwater
Red abalone,MOLLUSCA,GASTROPODA,HALIOTIDAE,Haliotis rufescens,3070300104,All,Marine
Trouts nei,PISCES,SALMONIFORMES,SALMONIDAE,Salmo spp,12301004XX,All,Marine
Freshwater mussel shells,MOLLUSCA,BIVALVIA,UNIONIDAE,Ex Unionidae,31605XXXXX021,All,Freshwater
East Asian bullfrog,"AMPHIBIA, REPTILIA",ANURA,DICROGLOSSIDAE,Hoplobatrachus rugulosus,5120500201,All,Freshwater
Spotted snakehead,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa punctata,1771900102,All,Freshwater
Pacific geoduck,MOLLUSCA,BIVALVIA,HIATELLIDAE,Panopea generosa,3161808901,All,Marine
Florida pompano,PISCES,PERCOIDEI,CARANGIDAE,Trachinotus carolinus,1702304703,All,Marine
Japanese jack mackerel,PISCES,PERCOIDEI,CARANGIDAE,Trachurus japonicus,1702300403,All,Marine
[Oplegnathus fasciatus],PISCES,PERCOIDEI,OPLEGNATHIDAE,Oplegnathus fasciatus,1705832901,All,Marine
Salmonids nei,PISCES,SALMONIFORMES,SALMONIDAE,Salmonidae,12301XXXXX,All,Freshwater
European perch,PISCES,PERCOIDEI,PERCIDAE,Perca fluviatilis,1701400201,All,Freshwater
Largemouth black bass,PISCES,PERCOIDEI,CENTRARCHIDAE,Micropterus salmoides,1701001402,All,Brackishwater
Snubnose pompano,PISCES,PERCOIDEI,CARANGIDAE,Trachinotus blochii,1702304701,All,Brackishwater
Bronze featherback,PISCES,OSTEOGLOSSIFORMES,NOTOPTERIDAE,Notopterus notopterus,1280200302,All,Freshwater
Great snakehead,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa marulius,1771900107,All,Freshwater
Goldfish,PISCES,CYPRINIFORMES,CYPRINIDAE,Carassius auratus,1400201602,All,Freshwater
Spotted sorubim,PISCES,SILURIFORMES,PIMELODIDAE,Pseudoplatystoma corruscans,1412209001,All,Freshwater
Sand gaper,MOLLUSCA,BIVALVIA,MYIDAE,Mya arenaria,3161700601,All,Marine
Butter clam,MOLLUSCA,BIVALVIA,VENERIDAE,Saxidomus giganteus,3161103702,All,Marine
European whitefish,PISCES,SALMONIFORMES,COREGONIDAE,Coregonus lavaretus,1231200102,All,Brackishwater
Atlantic cod,PISCES,GADIFORMES,GADIDAE,Gadus morhua,1480400202,All,Marine
Amberjacks nei,PISCES,PERCOIDEI,CARANGIDAE,Seriola spp,17023048XX,All,Brackishwater
"Filefishes, leatherjackets nei",PISCES,TETRAODONTIFORMES,MONACANTHIDAE,Monacanthidae,19009XXXXX,All,Marine
Cobia,PISCES,PERCOIDEI,RACHYCENTRIDAE,Rachycentron canadum,1702222101,All,Brackishwater
"Porgies, seabreams nei",PISCES,PERCOIDEI,SPARIDAE,Sparidae,17039XXXXX,All,Brackishwater
Convict grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus septemfasciatus,1700204215,All,Marine
Shi drum,PISCES,PERCOIDEI,SCIAENIDAE,Umbrina cirrosa,1703707001,All,Marine
Flathead grey mullet,PISCES,MUGILIFORMES,MUGILIDAE,Mugil cephalus,1650100102,All,Marine
Longfin yellowtail,PISCES,PERCOIDEI,CARANGIDAE,Seriola rivoliana,1702304814,All,Marine
Chilean flat oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Ostrea chilensis,3160700203,All,Marine
"Jacks, crevalles nei",PISCES,PERCOIDEI,CARANGIDAE,Caranx spp,17023044XX,All,Marine
Arctic char,PISCES,SALMONIFORMES,SALMONIDAE,Salvelinus alpinus,1230101005,All,Marine
European whitefish,PISCES,SALMONIFORMES,COREGONIDAE,Coregonus lavaretus,1231200102,All,Freshwater
Indian white prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus indicus,2280100125,All,Marine
Red claw crayfish,CRUSTACEA,REPTANTIA,PARASTACIDAE,Cherax quadricarinatus,2290517303,All,Freshwater
Algerian barb,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbus callensis,1400201332,All,Freshwater
Dotted gizzard shad,PISCES,CLUPEIFORMES,CLUPEIDAE,Konosirus punctatus,1210506001,All,Marine
"Groupers, seabasses nei",PISCES,PERCOIDEI,SERRANIDAE,Serranidae,17002XXXXX,All,Marine
Silver perch,PISCES,PERCOIDEI,TERAPONTIDAE,Bidyanus bidyanus,1700436801,All,Freshwater
Pacific chub mackerel,PISCES,SCOMBROIDEI,SCOMBRIDAE,Scomber japonicus,1750100201,All,Marine
Masu(=Cherry) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus masou,1230100905,All,Freshwater
"Scorpionfishes, redfishes nei",PISCES,SCORPAENIFORMES,SCORPAENIDAE,Scorpaenidae,17801XXXXX,All,Marine
Gasar cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea gasar,3160700816,All,Marine
Atlantic ditch shrimp,CRUSTACEA,NATANTIA,PALAEMONIDAE,Palaemonetes varians,2281200705,All,Brackishwater
Fourfinger threadfin,PISCES,PERCOIDEI,POLYNEMIDAE,Eleutheronema tetradactylum,1707700201,All,Marine
Blackchin tilapia,PISCES,PERCOIDEI,CICHLIDAE,Sarotherodon melanotheron,1705905202,All,Brackishwater
Greasyback shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Metapenaeus ensis,2280101609,All,Brackishwater
Monsoon river prawn,CRUSTACEA,NATANTIA,PALAEMONIDAE,Macrobrachium malcolmsonii,2281202309,All,Freshwater
Sharpsnout seabream,PISCES,PERCOIDEI,SPARIDAE,Diplodus puntazzo,1703903307,All,Marine
Pullet carpet shell,MOLLUSCA,BIVALVIA,VENERIDAE,Venerupis pullastra,3161100301,All,Brackishwater
Coho(=Silver) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus kisutch,1230100908,All,Freshwater
Red drum,PISCES,PERCOIDEI,SCIAENIDAE,Sciaenops ocellatus,1703741101,All,Brackishwater
Spinefeet(=Rabbitfishes) nei,PISCES,ACANTHUROIDEI,SIGANIDAE,Siganus spp,17407001XX,All,Brackishwater
Clown knifefish,PISCES,OSTEOGLOSSIFORMES,NOTOPTERIDAE,Chitala chitala,1280200201,All,Freshwater
Sandfish,INVERTEBRATA AQUATICA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria scabra,6940100302,All,Marine
Blackspot(=red) seabream,PISCES,PERCOIDEI,SPARIDAE,Pagellus bogaraveo,1703900801,All,Marine
Malabar grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus malabaricus,1700204244,All,Marine
Penaeus shrimps nei,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus spp,22801001XX,All,Marine
"Snappers, jobfishes nei",PISCES,PERCOIDEI,LUTJANIDAE,Lutjanidae,17032XXXXX,All,Brackishwater
Roaches nei,PISCES,CYPRINIFORMES,CYPRINIDAE,Rutilus spp,14002018XX,All,Freshwater
Mozambique tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis mossambicus,1705905101,All,Marine
Bluespotted seabream,PISCES,PERCOIDEI,SPARIDAE,Pagrus caeruleostictus,1703919101,All,Marine
Mediterranean mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilus galloprovincialis,3161000112,All,Brackishwater
Pink dentex,PISCES,PERCOIDEI,SPARIDAE,Dentex gibbosus,1703906001,All,Marine
Mi-iuy (brown) croaker,PISCES,PERCOIDEI,SCIAENIDAE,Miichthys miiuy,1703702801,All,Marine
American yellow perch,PISCES,PERCOIDEI,PERCIDAE,Perca flavescens,1701400202,All,Freshwater
Common edible cockle,MOLLUSCA,BIVALVIA,CARDIIDAE,Cerastoderma edule,3162300203,All,Brackishwater
Sorubims nei,PISCES,SILURIFORMES,PIMELODIDAE,Pseudoplatystoma spp,14122090XX,All,Freshwater
Rainbow abalone,MOLLUSCA,GASTROPODA,HALIOTIDAE,Haliotis iris,3070300120,All,Marine
[Hypsibarbus spp],PISCES,CYPRINIFORMES,CYPRINIDAE,Hypsibarbus spp,14002193XX,All,Freshwater
Spinefeet(=Rabbitfishes) nei,PISCES,ACANTHUROIDEI,SIGANIDAE,Siganus spp,17407001XX,All,Marine
[Brycon cephalus],PISCES,CHARACIFORMES,CHARACIDAE,Brycon cephalus,1380101307,All,Freshwater
Greater amberjack,PISCES,PERCOIDEI,CARANGIDAE,Seriola dumerili,1702304801,All,Marine
Sea trout,PISCES,SALMONIFORMES,SALMONIDAE,Salmo trutta,1230100402,All,Brackishwater
[Hatcheria macraei],PISCES,SILURIFORMES,TRICHOMYCTERIDAE,Hatcheria macraei,1412501001,All,Freshwater
Mangrove red snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus argentimaculatus,1703202702,All,Marine
Crimson snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus erythropterus,1703202704,All,Marine
Danube crayfish,CRUSTACEA,REPTANTIA,ASTACIDAE,Astacus leptodactylus,2290302701,All,Freshwater
Redbanded seabream,PISCES,PERCOIDEI,SPARIDAE,Pagrus auriga,1703919109,All,Marine
Hairy marron crayfish,CRUSTACEA,REPTANTIA,PARASTACIDAE,Cherax tenuimanus,2290517301,All,Freshwater
Diphos sanguin,MOLLUSCA,BIVALVIA,PSAMMOBIIDAE,Soletellina diphos,3163800701,All,Brackishwater
Globose clam,MOLLUSCA,BIVALVIA,MACTRIDAE,Mactra veneriformis,3161200804,All,Marine
Common dentex,PISCES,PERCOIDEI,SPARIDAE,Dentex dentex,1703906006,All,Marine
Yellowtail amberjack,PISCES,PERCOIDEI,CARANGIDAE,Seriola lalandi,1702304806,All,Brackishwater
"Porgies, seabreams nei",PISCES,PERCOIDEI,SPARIDAE,Sparidae,17039XXXXX,All,Freshwater
Mud spiny lobster,CRUSTACEA,REPTANTIA,PALINURIDAE,Panulirus polyphagus,2290100105,All,Brackishwater
Yabby crayfish,CRUSTACEA,REPTANTIA,PARASTACIDAE,Cherax destructor,2290517302,All,Freshwater
Great Atlantic scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Pecten maximus,3160800309,All,Marine
Broad geloina,MOLLUSCA,BIVALVIA,CORBICULIDAE,Polymesoda expansa,3162100204,All,Brackishwater
Pearl oyster shells nei,MOLLUSCA,BIVALVIA,PTERIIDAE,Ex Pinctada spp,31606006XX021,All,Marine
Golden trevally,PISCES,PERCOIDEI,CARANGIDAE,Gnathanodon speciosus,1702315101,All,Marine
Spotted coralgrouper,PISCES,PERCOIDEI,SERRANIDAE,Plectropomus maculatus,1700220801,All,Brackishwater
[Labeo dussumieri],PISCES,CYPRINIFORMES,CYPRINIDAE,Labeo dussumieri,1400202408,All,Freshwater
Tinfoil barb,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbonymus schwanenfeldii,1400233503,All,Freshwater
Pullet carpet shell,MOLLUSCA,BIVALVIA,VENERIDAE,Venerupis pullastra,3161100301,All,Marine
Blue swimming crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Portunus pelagicus,2311100401,All,Marine
Giant river prawn,CRUSTACEA,NATANTIA,PALAEMONIDAE,Macrobrachium rosenbergii,2281202307,All,Brackishwater
"Groupers, seabasses nei",PISCES,PERCOIDEI,SERRANIDAE,Serranidae,17002XXXXX,All,Brackishwater
John's snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus johnii,1703202707,All,Marine
Marine crustaceans nei,CRUSTACEA,CRUSTACEA MISCELLANEA,,Crustacea,299XXXXXXX013,All,Marine
Pufferfishes nei,PISCES,TETRAODONTIFORMES,TETRAODONTIDAE,Takifugu spp,19002011XX,All,Marine
Mud spiny lobster,CRUSTACEA,REPTANTIA,PALINURIDAE,Panulirus polyphagus,2290100105,All,Marine
Rudd,PISCES,CYPRINIFORMES,CYPRINIDAE,Scardinius erythrophthalmus,1400201901,All,Freshwater
Freshwater crustaceans nei,CRUSTACEA,CRUSTACEA MISCELLANEA,,Crustacea,299XXXXXXX011,All,Freshwater
Atipa,PISCES,SILURIFORMES,CALLICHTHYIDAE,Hoplosternum littorale,1412704701,All,Brackishwater
Fleshy prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus chinensis,2280100116,All,Marine
Japanese abalone,MOLLUSCA,GASTROPODA,HALIOTIDAE,Haliotis discus,3070300108,All,Marine
Indo-Pacific swamp crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Scylla serrata,2311114001,All,Marine
Sawtooth caridina,CRUSTACEA,NATANTIA,ATYIDAE,Caridina denticulata,2280901203,All,Freshwater
Huchen,PISCES,SALMONIFORMES,SALMONIDAE,Hucho hucho,1230102002,All,Freshwater
River prawns nei,CRUSTACEA,NATANTIA,PALAEMONIDAE,Macrobrachium spp,22812023XX,All,Freshwater
Indian backwater oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea madrasensis,3160700809,All,Brackishwater
Barcoo grunter,PISCES,PERCOIDEI,TERAPONTIDAE,Scortum barcoo,1700401002,All,Freshwater
Beluga,PISCES,ACIPENSERIFORMES,ACIPENSERIDAE,Huso huso,1170100501,All,Freshwater
Mediterranean shore crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Carcinus aestuarii,2311109002,All,Brackishwater
[Leporinus obtusidens],PISCES,CHARACIFORMES,ANOSTOMIDAE,Leporinus obtusidens,1380401104,All,Freshwater
Streaked prochilod,PISCES,CHARACIFORMES,CURIMATIDAE,Prochilodus lineatus,1381200115,All,Freshwater
[Brycon orbignyanus],PISCES,CHARACIFORMES,CHARACIDAE,Brycon orbignyanus,1380101324,All,Freshwater
Pacific littleneck clam,MOLLUSCA,BIVALVIA,VENERIDAE,Protothaca staminea,3161105502,All,Marine
Goldlined seabream,PISCES,PERCOIDEI,SPARIDAE,Rhabdosargus sarba,1703922402,All,Marine
Malabar grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus malabaricus,1700204244,All,Brackishwater
Gouramis nei,PISCES,"STROMATEOIDEI, ANABANTOIDEI",BELONTIIDAE,Trichogaster spp,17610013XX,All,Freshwater
Thai mahseer,PISCES,CYPRINIFORMES,CYPRINIDAE,Tor tambroides,1400205901,All,Freshwater
Emperor red snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus sebae,1703202714,All,Marine
Tilapias nei,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis (=Tilapia) spp,17059051XX,All,Marine
Brown-marbled grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus fuscoguttatus,1700204274,All,Marine
Tuberculate abalone,MOLLUSCA,GASTROPODA,HALIOTIDAE,Haliotis tuberculata,3070300114,All,Marine
Sampa,PISCES,SILURIFORMES,CLARIIDAE,Heterobranchus longifilis,1411808702,All,Freshwater
Flatfishes nei,PISCES,PLEURONECTIFORMES,,Pleuronectiformes,183XXXXXXX,All,Marine
Brown-marbled grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus fuscoguttatus,1700204274,All,Brackishwater
Giant grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus lanceolatus,1700204208,All,Marine
Speckled longfin eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla reinhardtii,1430200208,All,Freshwater
Blue swimming crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Portunus pelagicus,2311100401,All,Brackishwater
Knifefishes,PISCES,OSTEOGLOSSIFORMES,NOTOPTERIDAE,Notopterus spp,12802003XX,All,Freshwater
Pod razor shell,MOLLUSCA,BIVALVIA,SOLENIDAE,Ensis ensis,3161600503,All,Brackishwater
Burbot,PISCES,GADIFORMES,GADIDAE,Lota lota,1480400301,All,Freshwater
Striped bass,PISCES,PERCOIDEI,MORONIDAE,Morone saxatilis,1700600602,All,Freshwater
Hooded oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Saccostrea cuccullata,3160700306,All,Marine
Spotted coralgrouper,PISCES,PERCOIDEI,SERRANIDAE,Plectropomus maculatus,1700220801,All,Marine
River Plata mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilus platensis,3161000108,All,Marine
Tropical spiny lobsters nei,CRUSTACEA,REPTANTIA,PALINURIDAE,Panulirus spp,22901001XX,All,Brackishwater
Oriental cyclina,MOLLUSCA,BIVALVIA,VENERIDAE,Cyclina sinensis,3161102901,All,Marine
Russell's snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus russelli,1703202738,All,Marine
White seabream,PISCES,PERCOIDEI,SPARIDAE,Diplodus sargus,1703903303,All,Brackishwater
Noble crayfish,CRUSTACEA,REPTANTIA,ASTACIDAE,Astacus astacus,2290302702,All,Freshwater
Octopuses nei,MOLLUSCA,CEPHALOPODA,OCTOPODIDAE,Octopus spp,32109005XX,All,Marine
Natantian decapods nei,CRUSTACEA,NATANTIA,,Natantia,228XXXXXXX,All,Freshwater
Grayling,PISCES,SALMONIFORMES,THYMALLIDAE,Thymallus thymallus,1230200501,All,Freshwater
Groupers nei,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus spp,17002042XX,All,Freshwater
Natantian decapods nei,CRUSTACEA,NATANTIA,,Natantia,228XXXXXXX,All,Brackishwater
White-spotted spinefoot,PISCES,ACANTHUROIDEI,SIGANIDAE,Siganus canaliculatus,1740700108,All,Marine
Giant trevally,PISCES,PERCOIDEI,CARANGIDAE,Caranx ignobilis,1702304405,All,Marine
Areolate grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus areolatus,1700204240,All,Marine
Snappers nei,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus spp,17032027XX,All,Brackishwater
Giant grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus lanceolatus,1700204208,All,Brackishwater
Crimson snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus erythropterus,1703202704,All,Brackishwater
Senegalese sole,PISCES,PLEURONECTIFORMES,SOLEIDAE,Solea senegalensis,1830300708,All,Brackishwater
Common sole,PISCES,PLEURONECTIFORMES,SOLEIDAE,Solea solea,1830300701,All,Brackishwater
Potato grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus tukula,1700204282,All,Marine
Banded jewelfish,PISCES,PERCOIDEI,CICHLIDAE,Hemichromis fasciatus,1705927502,All,Freshwater
Caramote prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus kerathurus,2280100117,All,Marine
Warty venus,MOLLUSCA,BIVALVIA,VENERIDAE,Venus verrucosa,3161102701,All,Marine
Olive green cockle,MOLLUSCA,BIVALVIA,CARDIIDAE,Cerastoderma glaucum,3162300202,All,Brackishwater
Spotted seabass,PISCES,PERCOIDEI,MORONIDAE,Dicentrarchus punctatus,1700634501,All,Marine
Green humphead parrotfish,PISCES,PERCOIDEI,SCARIDAE,Bolbometopon muricatum,1706543701,All,Marine
Humpback grouper,PISCES,PERCOIDEI,SERRANIDAE,Cromileptes altivelis,1700212501,All,Brackishwater
Chub,PISCES,CYPRINIFORMES,CYPRINIDAE,Leuciscus cephalus,1400202008,All,Freshwater
Common nase,PISCES,CYPRINIFORMES,CYPRINIDAE,Chondrostoma nasus,1400201401,All,Freshwater
Olive green cockle,MOLLUSCA,BIVALVIA,CARDIIDAE,Cerastoderma glaucum,3162300202,All,Marine
Spotted seabass,PISCES,PERCOIDEI,MORONIDAE,Dicentrarchus punctatus,1700634501,All,Brackishwater
Green crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Carcinus maenas,2311109001,All,Marine
Great Mediterranean scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Pecten jacobaeus,3160800311,All,Marine
Peacock cichlid,PISCES,PERCOIDEI,CICHLIDAE,Cichla ocellaris,1705905404,All,Freshwater
